FORMAT:           OCCAM2MTDATA_1.0
TITLE:            MTpy-OccamDatafile, Profile=97.0 deg, Strike=7.0 deg
SITES:            15
   pb44
   pb43
   pb42
   pb41
   pb40
   pb39
   pb37
   pb35
   pb23
   pb25
   pb27
   pb29
   pb30
   pb32
   pb33
OFFSETS (M):      
   0.0
   2003.4
   3006.2
   3792.8
   4340.2
   4710.8
   5749.0
   6464.4
   7263.5
   7861.3
   8758.1
   9701.6
   10250.2
   11974.7
   14004.2
FREQUENCIES:      19
   7.812500e+01
   6.250000e+01
   4.687500e+01
   3.906250e+01
   3.125000e+01
   2.343750e+01
   1.953125e+01
   1.562500e+01
   1.171875e+01
   9.765625e+00
   7.812500e+00
   6.250000e+00
   4.687500e+00
   3.906250e+00
   3.125000e+00
   2.343750e+00
   1.953125e+00
   1.562500e+00
   1.171875e+00
DATA BLOCKS:      1140
SITE  FREQ  TYPE   DATUM    ERROR   
  4     13    2     48.4904   2.8660
  4     13    5      0.6200   0.0434
  4     13    6     47.8900   2.8660
  4     14    1      0.4775   0.0434
  4     14    2     46.9939   2.8660
  4     14    5      0.5545   0.0434
  4     14    6     46.4782   2.8660
  4     15    1      0.4567   0.0434
  4     15    2     44.2763   2.8660
  4     15    5      0.5470   0.0434
  4     15    6     43.9324   2.8660
  4     16    1      0.4372   0.0434
  4     16    2     39.8695   2.8660
  4     16    5      0.5476   0.0434
  4     16    6     39.5262   2.8660
  4     17    1      0.4394   0.0434
  4     17    2     36.9695   2.8660
  4     17    5      0.5518   0.0434
  4     17    6     36.7589   2.8660
  4     18    1      0.4529   0.0434
  4     18    2     32.6666   2.8660
  4     18    5      0.5792   0.0434
  4     18    6     33.8819   2.8660
  4     19    1      0.5134   0.0434
  4     19    2     26.5146   2.8660
  4     19    5      0.6402   0.0434
  4     19    6     30.5901   2.8660
  5     1     1      0.6769   0.0434
  5     1     2     54.8183   2.8660
  5     1     5      0.8036   0.0434
  5     1     6     54.6560   2.8660
  5     2     1      0.6527   0.0434
  5     2     2     53.0874   2.8660
  5     2     5      0.7769   0.0434
  5     2     6     52.4768   2.8660
  5     3     1      0.6640   0.0434
  5     3     2     51.3374   2.8660
  5     3     5      0.7953   0.0434
  5     3     6     50.5469   2.8660
  5     4     1      0.6376   0.0434
  5     4     2     52.5169   2.8660
  5     4     5      0.7692   0.0434
  5     4     6     51.9235   2.8660
  5     5     1      0.6319   0.0434
  5     5     2     52.0680   2.8660
