Format:  EMData_1.1 
!mode:   TE
!rotation_angle = 0.00
# Transmitters: 1
0 0 0 0 0 
# Frequencies:   65
   +1.256500e+04
   +9.751601e+03
   +7.876300e+03
   +6.188500e+03
   +5.250801e+03
   +4.265799e+03
   +3.515799e+03
   +8.437800e+02
   +6.562798e+02
   +4.922399e+02
   +3.867599e+02
   +3.164400e+02
   +2.578400e+02
   +2.109600e+02
   +1.728900e+02
   +1.367200e+02
   +1.015600e+02
   +7.421900e+01
   +5.761700e+01
   +4.882800e+01
   +4.101600e+01
   +3.222700e+01
   +2.636700e+01
   +2.148400e+01
   +1.757800e+01
   +1.440400e+01
   +1.147500e+01
   +8.593800e+00
   +6.591801e+00
   +5.371100e+00
   +4.394500e+00
   +3.601100e+00
   +2.868700e+00
   +2.304700e+00
   +1.914100e+00
   +1.601600e+00
   +1.328100e+00
   +1.074200e+00
   +8.789100e-01
   +6.835900e-01
   +5.078100e-01
   +3.710900e-01
   +2.880900e-01
   +2.050800e-01
   +1.318400e-01
   +8.789098e-02
   +6.835900e-02
   +5.127000e-02
   +4.028299e-02
   +3.295900e-02
   +2.685500e-02
   +2.197300e-02
   +1.709000e-02
   +1.281700e-02
   +1.007100e-02
   +8.239700e-03
   +6.713900e-03
   +5.493201e-03
   +4.272499e-03
   +2.822900e-03
   +2.059900e-03
   +1.678500e-03
   +1.373300e-03
   +1.068100e-03
   +7.629400e-04
# Receivers: 1 
0 0 0 0 0 0 
# Data:      130
!Type      Freq#      TX#      Rx#      Data      Std_Error
RhoZxy      13      0      1      +5.245507e+00      +2.098203e-01
PhsZxy      13      0      1      +5.517658e+01      +2.000000e+00
RhoZxy      14      0      1      +4.903070e+00      +1.961228e-01
PhsZxy      14      0      1      +5.482015e+01      +2.000000e+00
RhoZxy      15      0      1      +4.778177e+00      +1.911271e-01
PhsZxy      15      0      1      +5.450632e+01      +2.000000e+00
RhoZxy      16      0      1      +4.682472e+00      +1.872989e-01
PhsZxy      16      0      1      +5.313170e+01      +2.000000e+00
RhoZxy      17      0      1      +4.400080e+00      +1.760032e-01
PhsZxy      17      0      1      +5.240604e+01      +2.000000e+00
RhoZxy      18      0      1      +4.175159e+00      +1.670064e-01
PhsZxy      18      0      1      +5.166837e+01      +2.000000e+00
RhoZxy      19      0      1      +4.094941e+00      +1.637976e-01
PhsZxy      19      0      1      +5.117572e+01      +2.000000e+00
RhoZxy      20      0      1      +3.955511e+00      +1.582204e-01
PhsZxy      20      0      1      +5.083343e+01      +2.000000e+00
RhoZxy      21      0      1      +3.967406e+00      +1.586962e-01
PhsZxy      21      0      1      +5.051857e+01      +2.000000e+00
RhoZxy      22      0      1      +3.862008e+00      +1.544803e-01
PhsZxy      22      0      1      +5.029282e+01      +2.000000e+00
RhoZxy      23      0      1      +3.787220e+00      +1.514888e-01
PhsZxy      23      0      1      +5.008765e+01      +2.000000e+00
RhoZxy      24      0      1      +3.652801e+00      +1.461120e-01
PhsZxy      24      0      1      +5.007210e+01      +2.000000e+00
RhoZxy      25      0      1      +3.651994e+00      +1.460798e-01
PhsZxy      25      0      1      +5.024714e+01      +2.000000e+00
RhoZxy      26      0      1      +3.521046e+00      +1.408418e-01
PhsZxy      26      0      1      +5.032024e+01      +2.000000e+00
RhoZxy      27      0      1      +3.491138e+00      +1.396455e-01
PhsZxy      27      0      1      +5.078555e+01      +2.000000e+00
RhoZxy      28      0      1      +3.218114e+00      +1.287245e-01
PhsZxy      28      0      1      +5.080290e+01      +2.000000e+00
RhoZxy      29      0      1      +3.162414e+00      +1.264966e-01
PhsZxy      29      0      1      +5.078994e+01      +2.000000e+00
RhoZxy      30      0      1      +2.970792e+00      +1.188317e-01
PhsZxy      30      0      1      +5.020881e+01      +2.000000e+00
RhoZxy      31      0      1      +2.818262e+00      +1.127305e-01
PhsZxy      31      0      1      +4.932902e+01      +2.000000e+00
RhoZxy      32      0      1      +2.699179e+00      +1.079671e-01
PhsZxy      32      0      1      +4.806111e+01      +2.000000e+00
RhoZxy      33      0      1      +2.619986e+00      +1.047994e-01
PhsZxy      33      0      1      +4.624235e+01      +2.000000e+00
RhoZxy      34      0      1      +2.538062e+00      +1.015225e-01
PhsZxy      34      0      1      +4.414499e+01      +2.000000e+00
RhoZxy      35      0      1      +2.621154e+00      +1.048462e-01
PhsZxy      35      0      1      +4.627667e+01      +2.000000e+00
RhoZxy      36      0      1      +2.620576e+00      +1.048230e-01
PhsZxy      36      0      1      +4.159350e+01      +2.000000e+00
RhoZxy      37      0      1      +2.630053e+00      +1.052021e-01
PhsZxy      37      0      1      +3.716618e+01      +2.000000e+00
RhoZxy      38      0      1      +2.832854e+00      +1.133142e-01
PhsZxy      38      0      1      +3.466045e+01      +2.000000e+00
RhoZxy      39      0      1      +2.972577e+00      +1.189031e-01
PhsZxy      39      0      1      +3.171103e+01      +2.000000e+00
RhoZxy      40      0      1      +3.462777e+00      +1.385111e-01
PhsZxy      40      0      1      +2.963953e+01      +2.000000e+00
RhoZxy      41      0      1      +4.163367e+00      +1.665347e-01
PhsZxy      41      0      1      +2.670347e+01      +2.000000e+00
